url,file,status,note
https://www.wpbf.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wpbf-com.png",Success,
https://www.mynbc5.com/,"D:\Web Development\headlessScreenshots\screenshots\www-mynbc5-com.png",Success,
https://www.wtae.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wtae-com.png",Success,
https://www.wvtm13.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wvtm13-com.png",Success,
https://www.wxii12.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wxii12-com.png",Success,
https://www.wyff4.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wyff4-com.png",Success,
http://www.wbal.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wbal-com.png",Success,
https://www.careersatquincy.com/,"D:\Web Development\headlessScreenshots\screenshots\www-careersatquincy-com.png",Success,
http://www.kbjr6.com/,"D:\Web Development\headlessScreenshots\screenshots\www-kbjr6-com.png",Success,
http://www.ktiv.com/,"D:\Web Development\headlessScreenshots\screenshots\www-ktiv-com.png",Success,
http://www.kttc.com/,"D:\Web Development\headlessScreenshots\screenshots\www-kttc-com.png",Success,
http://www.kwwl.com/,"D:\Web Development\headlessScreenshots\screenshots\www-kwwl-com.png",Success,
http://www.myfox47.com/,"D:\Web Development\headlessScreenshots\screenshots\www-myfox47-com.png",Success,
http://www.waow.com/,"D:\Web Development\headlessScreenshots\screenshots\www-waow-com.png",Success,
http://www.wbng.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wbng-com.png",Success,
http://www.week.com/,"D:\Web Development\headlessScreenshots\screenshots\www-week-com.png",Success,
http://www.wkow.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wkow-com.png",Success,
http://www.wpta21.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wpta21-com.png",Success,
http://www.wqow.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wqow-com.png",Success,
http://www.wrex.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wrex-com.png",Success,
http://www.wvva.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wvva-com.png",Success,
http://www.wxow.com/,"D:\Web Development\headlessScreenshots\screenshots\www-wxow-com.png",Success,
https://www.dallasnews.com/,"D:\Web Development\headlessScreenshots\screenshots\www-dallasnews-com.png",Success,
https://sportsday.dallasnews.com/,"D:\Web Development\headlessScreenshots\screenshots\sportsday-dallasnews-com.png",Success,
https://www.post-gazette.com/,"D:\Web Development\headlessScreenshots\screenshots\www-post-gazette-com.png",Success,
https://www.ellos.us/,"D:\Web Development\headlessScreenshots\screenshots\www-ellos-us.png",Success,
https://www.fullbeauty.com/,"D:\Web Development\headlessScreenshots\screenshots\www-fullbeauty-com.png",Success,
https://www.jessicalondon.com/,"D:\Web Development\headlessScreenshots\screenshots\www-jessicalondon-com.png",Success,
https://www.brylanehome.com/,"D:\Web Development\headlessScreenshots\screenshots\www-brylanehome-com.png",Success,
https://www.cgtn.com/,"D:\Web Development\headlessScreenshots\screenshots\www-cgtn-com.png",Success,
